id_curriculo	categoria	aceitando_email	saiu_do_ifg
1452	tecnico_administrativo	True	True
1186	docente	True	False
729	tecnico_administrativo	True	False
1647	docente	True	False
1140	docente	True	False
1966	tecnico_administrativo	True	True
374	tecnico_administrativo	True	False
1637	docente	True	False
88	tecnico_administrativo	True	False
543	tecnico_administrativo	True	False
832	docente	True	True
1761	tecnico_administrativo	True	False
123	tecnico_administrativo	True	False
334	tecnico_administrativo	True	False
391	tecnico_administrativo	True	False
1369	docente	True	False
1603	tecnico_administrativo	True	False
241	docente	True	False
1265	tecnico_administrativo	True	False
97	docente	True	False
959	tecnico_administrativo	True	False
1189	docente	True	True
1559	tecnico_administrativo	True	False
908	docente	True	False
929	tecnico_administrativo	True	False
2044	tecnico_administrativo	True	False
1691	tecnico_administrativo	True	False
898	docente	True	False
369	docente	True	False
590	tecnico_administrativo	True	False
2023	tecnico_administrativo	True	False
1050	docente	True	False
2127	tecnico_administrativo	True	False
1337	docente	True	False
204	docente	True	False
1251	docente	True	False
60	docente	True	False
2118	tecnico_administrativo	True	False
1754	tecnico_administrativo	True	False
661	tecnico_administrativo	True	False
358	docente	True	False
246	docente	True	False
2051	tecnico_administrativo	True	False
1375	docente	True	False
2098	tecnico_administrativo	True	False
316	docente	True	False
336	tecnico_administrativo	True	False
396	tecnico_administrativo	True	False
1749	docente	True	False
813	docente	True	False
516	docente	True	False
1169	tecnico_administrativo	True	True
53	tecnico_administrativo	True	True
1470	tecnico_administrativo	True	False
1500	docente	True	False
261	tecnico_administrativo	True	False
1259	tecnico_administrativo	True	True
534	docente	True	False
1873	tecnico_administrativo	True	False
855	tecnico_administrativo	True	False
2129	docente	True	False
2035	tecnico_administrativo	True	True
611	docente	True	False
2113	tecnico_administrativo	True	False
1235	tecnico_administrativo	True	False
1772	docente	True	False
264	docente	True	False
503	docente	True	False
157	docente	True	False
1238	tecnico_administrativo	True	False
586	tecnico_administrativo	True	False
464	tecnico_administrativo	True	False
354	tecnico_administrativo	True	False
1425	tecnico_administrativo	True	False
1770	tecnico_administrativo	True	False
1686	tecnico_administrativo	True	True
1386	docente	True	False
1084	docente	True	False
800	tecnico_administrativo	True	True
9	tecnico_administrativo	True	False
1561	docente	True	False
1881	tecnico_administrativo	True	False
1096	docente	True	True
1884	tecnico_administrativo	True	False
736	tecnico_administrativo	True	False
642	tecnico_administrativo	True	False
235	docente	True	False
2193	tecnico_administrativo	True	False
2170	tecnico_administrativo	True	False
1682	docente	True	False
1291	docente	True	True
1797	docente	True	False
471	docente	True	False
866	tecnico_administrativo	True	False
905	tecnico_administrativo	True	False
864	tecnico_administrativo	True	True
1213	tecnico_administrativo	True	False
1663	docente	True	False
1665	tecnico_administrativo	True	False
2160	tecnico_administrativo	True	False
576	docente	True	False
1000	docente	True	False
2189	tecnico_administrativo	True	False
1528	docente	True	False
318	tecnico_administrativo	True	False
806	tecnico_administrativo	True	False
1179	tecnico_administrativo	True	False
177	docente	True	False
1440	tecnico_administrativo	True	False
535	docente	True	False
2142	tecnico_administrativo	True	False
428	docente	True	False
540	tecnico_administrativo	True	False
764	tecnico_administrativo	True	False
1768	docente	True	False
519	docente	True	True
1640	tecnico_administrativo	True	False
772	tecnico_administrativo	True	False
1713	docente	True	True
675	docente	True	False
745	docente	True	False
1908	tecnico_administrativo	True	False
1016	docente	True	False
228	docente	True	True
79	docente	True	False
2030	docente	True	False
986	docente	True	True
2095	tecnico_administrativo	True	False
1736	tecnico_administrativo	True	False
1656	tecnico_administrativo	True	False
1149	tecnico_administrativo	True	False
445	tecnico_administrativo	True	True
1076	docente	True	False
1594	tecnico_administrativo	True	True
2079	docente	True	False
1296	tecnico_administrativo	True	True
2165	tecnico_administrativo	True	False
190	docente	True	False
1639	docente	True	False
1105	tecnico_administrativo	True	False
1502	docente	True	False
1706	docente	True	False
1018	docente	True	False
1462	tecnico_administrativo	True	False
626	tecnico_administrativo	True	False
2053	tecnico_administrativo	True	False
953	docente	True	False
1921	tecnico_administrativo	True	False
943	docente	True	False
1056	docente	True	False
472	docente	True	True
526	tecnico_administrativo	True	False
2181	tecnico_administrativo	True	False
355	tecnico_administrativo	True	False
621	docente	True	False
1959	tecnico_administrativo	True	False
1925	tecnico_administrativo	True	False
238	docente	True	False
1926	tecnico_administrativo	True	False
812	docente	True	False
1030	docente	True	False
553	tecnico_administrativo	True	False
34	docente	True	False
1894	tecnico_administrativo	True	True
1465	docente	True	False
1177	docente	True	False
684	docente	True	False
708	docente	True	False
918	tecnico_administrativo	True	False
1074	tecnico_administrativo	True	False
810	tecnico_administrativo	True	True
1698	tecnico_administrativo	True	False
1521	docente	True	False
1807	tecnico_administrativo	True	False
1841	tecnico_administrativo	True	True
1856	tecnico_administrativo	True	False
1099	docente	True	False
2120	docente	True	False
33	tecnico_administrativo	True	False
1519	tecnico_administrativo	True	False
1365	docente	True	False
933	tecnico_administrativo	True	False
1162	docente	True	False
413	docente	True	False
1402	docente	True	False
882	tecnico_administrativo	True	True
666	docente	True	False
493	docente	True	False
1380	docente	True	False
2009	tecnico_administrativo	True	False
